"","urls"
"67","https://www.vox.com/policy-and-politics/2022/6/29/23188737/abortion-bans-austin-cincinnati-phoenix-tucson-raleigh"
"68","https://www.vox.com/2023/8/8/23817989/issue-1-ohio-special-election-2023-results-abortion-rights"
"69","https://www.vox.com/2019/12/5/20994296/ohio-abortion-murder-hb-413-reimplant-ectopic"
"70","https://www.vox.com/24078960/south-dakota-abortion-ballot-measure-dobbs"
"71","https://www.vox.com/2024/3/20/24106109/dobbs-roe-abortion-reproductive-rights"
"72","https://www.vox.com/23055389/roe-v-wade-timeline-abortion-overturn-political-polarization"
"73","https://www.vox.com/policy-and-politics/23449529/chart-abortion-rights-ballot-measures-midterm-elections-kentucky-results-2022"
"74","https://www.vox.com/2019/5/19/18631854/pete-buttigieg-fox-news-town-hall"
"75","https://www.vox.com/2024/4/11/24126617/florida-arizona-abortion-rights-trump-2024"
"76","https://www.vox.com/policy-and-politics/23021104/texas-abortion-murder-charge-starr-county"
"77","https://www.vox.com/23200938/joe-biden-executive-order-abortion"
"78","https://www.vox.com/identities/2019/10/28/20932235/planned-parenthood-missouri-abortion-clinic-roe-wade"
"79","https://www.vox.com/2023/4/25/23697810/north-dakota-abortion-ban-law-republicans"
"80","https://www.vox.com/2019/5/16/18628002/abortion-ohio-alabama-georgia-law-bill-details"
"81","https://www.vox.com/2022/2/28/22946299/womens-health-protection-act-senate-vote-abortion-rights"
"82","https://www.vox.com/world-politics/2023/9/7/23863267/mexico-abortion-decriminalize-supreme-court-ruling"
"83","https://www.vox.com/scotus/2024/3/21/24105984/supreme-court-mifepristone-abortion-pills-fda-alliance-hippocratic-medicine"
"84","https://www.vox.com/policy-and-politics/2023/2/7/23589355/supreme-court-abortion-dobbs-jackson-handy-united-states-judge-kollar-kotelly"
"85","https://www.vox.com/scotus/2024/1/5/24027273/supreme-court-trump-abortion-emtala-idaho-emergency"
"86","https://www.vox.com/23137822/abortion-birth-control-health-care-roe-wade"
"87","https://www.vox.com/2019/4/10/18295513/abortion-2020-roe-joe-biden-democrats-republicans"
"88","https://www.vox.com/the-big-idea/2017/8/23/16186468/artificial-wombs-radically-transform-abortion-debate"
"89","https://www.vox.com/policy-and-politics/2022/8/2/23278845/kansas-abortion-vote-constitutional-amendment"
"90","https://www.vox.com/24071802/abortion-roe-overturn-trigger-ban-states-mental-health"
"91","https://www.vox.com/2023/4/10/23677220/texas-abortion-pills-usa-updates-mifepristone-misoprostol-kacsmaryk"
"92","https://www.vox.com/2023/5/26/23738974/indiana-abortion-doctor-caitlin-bernard-ohio"
"93","https://www.vox.com/policy-and-politics/2018/6/27/17510896/anthony-kennedy-retirement-abortion-rights-roe-v-wade-john-roberts"
"94","https://www.vox.com/2020/9/9/21426056/supreme-court-abortion-american-college-obstetricians-gynecologists-surgery-trump-john-roberts"
"95","https://www.vox.com/2020/4/1/21200247/coronavirus-texas-abortion-ban-pandemic-covid-19"
"96","https://www.vox.com/a/abortion-decision-statistics-opinions/abortion-polling-mistakes"
"97","https://www.vox.com/2022/6/25/23182753/roe-overturned-abortion-access-reproductive-rights-trigger-laws"
"98","https://www.vox.com/politics/2023/4/21/23686788/supreme-court-abortion-pill-ruling-mifepristone-fda-alliance-hippocratic-medicine"
"99","https://www.vox.com/23741997/republicans-12-week-abortion-bans-europe-roe-dobbs"
