"","x"
"68","https://www.cnn.com/2024/05/20/health/hiv-breastfeeding-recommendations-aap/index.html"
"69","https://www.cnn.com/2024/05/16/politics/nicole-shanahan-robert-kennedy-abortion/index.html"
"70","https://www.cnn.com/2024/05/16/health/medical-residents-abortion-restrictions-kff-health-news-partner/index.html"
"71","https://www.cnn.com/2024/05/16/politics/sex-education-bills-united-states-dg/index.html"
"72","https://www.cnn.com/2024/05/14/health/abortion-telehealth-shield-laws-wecount-report/index.html"
"73","https://www.cnn.com/2024/05/14/politics/arizona-abortion-ban-enforcement-delayed/index.html"
"74","https://www.cnn.com/2024/05/13/politics/louisiana-bill-abortion-drugs-highly-regulated-medications/index.html"
"75","https://www.cnn.com/2024/05/13/politics/abortion-ads-democratic-group-trump/index.html"
"76","https://www.cnn.com/2024/05/12/opinions/abortion-ballot-initiatives-florida-supreme-court-ziegler/index.html"
"77","https://www.cnn.com/2024/05/12/politics/kari-lake-arizona-senate-abortion/index.html"
"78","https://www.cnn.com/2024/05/11/opinions/mothers-day-miscarried-chari-pere-schwartz-miller/index.html"
"79","https://www.cnn.com/2024/05/10/politics/robert-f-kennedy-jr-walks-back-opposition-abortion-limits/index.html"
"80","https://www.cnn.com/2024/05/09/politics/robert-f-kennedy-jr-abortion-limits/index.html"
"81","https://www.cnn.com/2024/05/08/health/ozempic-babies-pregnancy/index.html"
"82","https://www.cnn.com/2024/05/08/us/new-york-abortion-pill-lawsuit/index.html"
"83","https://www.cnn.com/2024/05/07/politics/alabama-prosecute-out-of-state-abortion/index.html"
"84","https://www.cnn.com/2024/05/06/health/gender-inclusive-language-wellness/index.html"
"85","https://www.cnn.com/2024/05/05/us/texas-abortion-collin-davis-colorado/index.html"
"86","https://www.cnn.com/2024/05/04/health/parent-death-drug-overdose-gun-violence/index.html"
"87","https://www.cnn.com/2024/05/02/politics/arizona-abortion-repeal-governor/index.html"
"88","https://www.cnn.com/2024/05/01/health/maternal-mortality-cdc-report/index.html"
