"","topic1","topic2","topic3"
"1","news","women","state"
"2","roe","clinic","court"
"3","fox","peopl","news"
"4","biden","march","fox"
"5","state","work","pill"
"6","democrat","life","drug"
"7","trump","like","mifepriston"
"8","ban","worker","restrict"
"9","wade","just","new"
"10","presid","it’","fda"
