"","x"
"81","/2023/12/13/greg_casar_border_militarization_aid_package"
"82","/2023/12/13/headlines/arizona_new_mexico_supreme_courts_hear_pivotal_abortion_cases_this_week"
"83","/2023/12/12/climate_activists_outraged_as_cop28_draft"
"84","/2023/12/12/texas_woman_denied_abortion_for_nonviable"
"85","/2023/12/12/headlines/texas_supreme_court_wont_allow_woman_with_nonviable_pregnancy_to_seek_abortion"
"86","/2023/12/11/headlines/tx_supreme_court_blocks_emergency_abortion_kentucky_patient_challenges_abortion_ban"
"87","/2023/12/11/headlines/there_is_no_alternative_to_shock_far_right_javier_milei_sworn_in_as_president_of_argentina"
"88","/2023/12/8/headlines/texas_judge_intervenes_to_allow_pregnant_woman_to_receive_critical_abortion_care"
"89","/2023/12/6/headlines/senate_confirms_400_military_nominees_after_sen_tuberville_ends_10_month_blockade"
"90","/2023/12/6/headlines/woman_sues_texas_after_she_was_denied_an_abortion_for_nonviable_pregnancy"
"91","/2023/12/6/headlines/woman_sues_texas_after_she_was_denied_an_abortion_for_nonviable_pregnancy"
"92","/2023/12/4/headlines/sandra_day_oconnor_first_woman_to_serve_on_us_supreme_court_dies_at_93"
"93","/2023/11/29/headlines/center_for_reproductive_rights_argues_against_texas_abortion_ban_before_states_supreme_court"
"94","/2023/11/27/headlines/tens_of_thousands_march_to_demand_the_elimination_of_violence_against_women"
"95","/2023/11/21/argentina_javier_milei_elected_president"
"96","/2023/11/20/headlines/far_right_libertarian_javier_milei_elected_as_argentinas_next_president"
"97","/2023/11/16/headlines/7_more_women_join_texas_abortion_ban_lawsuit_judge_blocks_idahos_out_of_state_abortion_law"
"98","/2023/11/9/headlines/front_runner_donald_trump_boycotts_as_2024_republican_hopefuls_hold_third_debate"
"99","/2023/11/8/2023_november_elections_abortion"
"100","/2023/11/8/part_2_holocaust_survivor_marione_ingram"
"101","/2023/11/7/headlines/on_election_day_virginias_legislature_is_up_for_grabs_ohio_voters_will_decide_abortion_rights"
"102","/2023/11/2/headlines/republican_senators_confront_tommy_tuberville_over_holding_up_military_confirmations"
"103","/2023/10/26/headlines/house_elects_gop_hard_liner_mike_johnson_as_speaker_ending_weekslong_legislative_standstill"
"104","/2023/10/24/headlines/lubbock_becomes_largest_texas_county_to_ban_travel_by_pregnant_people_seeking_abortions"
"105","/2023/10/16/headlines/donald_tusk_poised_to_lead_poland_as_high_voter_turnout_drives_opposition_parties_to_victory"
"106","/2023/10/16/headlines/jeff_landry_elected_governor_of_louisiana_bolstering_republican_supermajority"
"107","/2023/10/4/laphonza_butler_barbara_lee_ro_khanna"
"108","/2023/10/2/sasha_abramsky_govt_shutdown_mccarthy"
"109","/2023/10/2/headlines/gavin_newsom_picks_emilys_list_president_laphonza_butler_to_fill_dianne_feinsteins_senate_seat"
"110","/2023/9/25/propublica_clarence_thomas_koch_network"
"111","/2023/9/25/headlines/nebraska_mother_who_helped_daughter_obtain_abortion_sentenced_to_two_years_in_prison"
"112","/2023/9/21/headlines/senate_confirms_top_military_officer_circumventing_anti_abortion_protest_of_sen_tuberville"
"113","/2023/9/15/headlines/wisconsin_planned_parenthood_to_resume_abortions_next_week_amid_ongoing_legal_battles"
"114","/2023/9/14/headlines/wisconsin_gop_attempt_to_impeach_liberal_judge_who_could_overturn_abortion_ban_gerrymandering"
"115","/2023/9/13/headlines/patients_doctors_sue_over_denial_of_care_due_to_abortion_bans_in_idaho_tennessee_and_oklahoma"
"116","/2023/9/12/headlines/protesters_occupy_house_speakers_office_to_demand_renewed_funding_for_hiv_aids"
"117","/2023/9/8/spain_womens_soccer_rubiales_hermoso"
"118","/2023/9/8/mexico_decriminalize_abortion"
"119","/2023/9/7/headlines/mexicos_supreme_court_decriminalizes_abortion"
"120","/2023/9/7/headlines/texas_finds_new_ways_to_criminalize_abortion_targeting_people_who_travel_for_the_procedure"
"121","/2023/9/1/proud_boys_leaders_january_6th_sentencing"
"122","/2023/8/29/trump_meadows_trials"
"123","/2023/8/24/headlines/south_carolina_supreme_court_upholds_abortion_ban_reversing_previous_ruling"
"124","/2023/8/17/headlines/appeals_court_backs_restrictions_on_abortion_pill_sending_case_to_supreme_court"
"125","/2023/8/16/headlines/paraguayan_president_santiago_pena_pledges_to_continue_taiwan_support_at_inauguration"
"126","/2023/8/16/headlines/planned_parenthood_arsonist_gets_10_years_in_prison"
"127","/2023/8/15/headlines/nebraska_judge_upholds_ban_on_abortion_gender_affirming_care_for_minors"
"128","/2023/8/9/ohio_abortion_constitution_restriction_nina_turner"
"129","/2023/8/9/headlines/ohio_voters_reject_gop_attempt_to_impose_higher_barrier_to_enshrining_abortion_rights_in_constitution"
"130","/2023/8/8/headlines/ohio_election_day_anti_abortion_gop_megadonor_funds_effort_to_make_it_harder_to_amend_state_constitution"
"131","/2023/8/7/abortion_dorothy_roberts"
"132","/2023/8/7/headlines/texas_judge_rules_abortion_ban_is_too_restrictive_tx_ag_blocks_order_keeping_ban_in_place_for_now"
"133","/2023/8/7/headlines/ohio_voters_cast_ballots_in_gop_measure_that_could_affect_abortion_rights"
"134","/2023/8/3/pittsburgh_synagogue_shooter_death_penalty"
"135","/2023/8/1/remembering_sinead_oconnor"
"136","/2023/8/1/why_sinead_oconnor_matters_she_fought"
"137","/2023/8/1/headlines/biden_reverses_trump_plan_to_move_us_space_command_from_colorado_to_alabama"
"138","/2023/7/28/headlines/senate_passes_record_886b_military_budget_rejecting_sanders_amendment_cutting_pentagon_funding"
